[09-Mar-2024 20:08:11 UTC] wps:2132
[09-Mar-2024 20:18:49 UTC] end ci_import_product(wps, 680 -> update)
[09-Mar-2024 20:18:49 UTC] start ci_import_product(wps, 681)
[09-Mar-2024 20:18:51 UTC] end ci_import_product(wps, 681 -> ignore)
[09-Mar-2024 20:18:51 UTC] start ci_import_product(wps, 682)
[09-Mar-2024 20:18:53 UTC] end ci_import_product(wps, 682 -> ignore)
[09-Mar-2024 20:18:53 UTC] start ci_import_product(wps, 685)
[09-Mar-2024 20:18:55 UTC] end ci_import_product(wps, 685 -> ignore)
[09-Mar-2024 20:20:34 UTC] start ci_import_product(wps, 686)
[09-Mar-2024 20:20:36 UTC] end ci_import_product(wps, 686 -> update)
[09-Mar-2024 20:20:36 UTC] start ci_import_product(wps, 690)
[09-Mar-2024 20:20:39 UTC] end ci_import_product(wps, 690 -> update)
[09-Mar-2024 20:20:39 UTC] start ci_import_product(wps, 701)
[09-Mar-2024 20:20:41 UTC] end ci_import_product(wps, 701 -> ignore)
[09-Mar-2024 20:20:41 UTC] start ci_import_product(wps, 702)
[09-Mar-2024 20:20:43 UTC] end ci_import_product(wps, 702 -> ignore)
[09-Mar-2024 20:20:43 UTC] start ci_import_product(wps, 705)
[09-Mar-2024 20:20:45 UTC] end ci_import_product(wps, 705 -> ignore)
[09-Mar-2024 20:20:45 UTC] start ci_import_product(wps, 708)
[09-Mar-2024 20:20:47 UTC] end ci_import_product(wps, 708 -> ignore)
[09-Mar-2024 20:20:47 UTC] start ci_import_product(wps, 709)
[09-Mar-2024 20:20:48 UTC] end ci_import_product(wps, 709 -> ignore)
[09-Mar-2024 20:20:48 UTC] start ci_import_product(wps, 710)
[09-Mar-2024 20:20:50 UTC] end ci_import_product(wps, 710 -> ignore)
[09-Mar-2024 20:20:50 UTC] start ci_import_product(wps, 711)
[09-Mar-2024 20:20:53 UTC] end ci_import_product(wps, 711 -> update)
[09-Mar-2024 20:20:53 UTC] start ci_import_product(wps, 720)
[09-Mar-2024 20:20:55 UTC] end ci_import_product(wps, 720 -> update)
[09-Mar-2024 20:22:35 UTC] start ci_import_product(wps, 735)
[09-Mar-2024 20:22:37 UTC] end ci_import_product(wps, 735 -> update)
[09-Mar-2024 20:22:37 UTC] start ci_import_product(wps, 741)
[09-Mar-2024 20:22:39 UTC] end ci_import_product(wps, 741 -> update)
[09-Mar-2024 20:22:39 UTC] start ci_import_product(wps, 744)
[09-Mar-2024 20:22:41 UTC] end ci_import_product(wps, 744 -> ignore)
[09-Mar-2024 20:22:41 UTC] start ci_import_product(wps, 745)
[09-Mar-2024 20:22:44 UTC] end ci_import_product(wps, 745 -> update)
[09-Mar-2024 20:22:44 UTC] start ci_import_product(wps, 753)
[09-Mar-2024 20:22:47 UTC] end ci_import_product(wps, 753 -> update)
[09-Mar-2024 20:22:47 UTC] start ci_import_product(wps, 762)
[09-Mar-2024 20:22:49 UTC] end ci_import_product(wps, 762 -> ignore)
[09-Mar-2024 20:22:49 UTC] start ci_import_product(wps, 788)
[09-Mar-2024 20:22:52 UTC] end ci_import_product(wps, 788 -> update)
[09-Mar-2024 20:22:52 UTC] start ci_import_product(wps, 824)
